Test_ID,Family,Contract_ID,Subject,Severity,Assessment_Status,Evidence,Reason
T-W1-001-01,W1_SCHEMA,W1-P1-001,المستخدم,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-001-02,W1_SCOPE,W1-P1-001,المستخدم,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-001-03,W1_CONCURRENCY,W1-P1-001,المستخدم,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-001-04,W1_AUDIT,W1-P1-001,المستخدم,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-001-05,W1_LIFECYCLE,W1-P1-001,المستخدم,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-002-01,W1_SCHEMA,W1-P1-002,الدور,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-002-02,W1_SCOPE,W1-P1-002,الدور,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-002-03,W1_CONCURRENCY,W1-P1-002,الدور,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-002-04,W1_AUDIT,W1-P1-002,الدور,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-002-05,W1_LIFECYCLE,W1-P1-002,الدور,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-003-01,W1_SCHEMA,W1-P1-003,الصلاحية,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-003-02,W1_SCOPE,W1-P1-003,الصلاحية,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-003-03,W1_CONCURRENCY,W1-P1-003,الصلاحية,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-003-04,W1_AUDIT,W1-P1-003,الصلاحية,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-003-05,W1_LIFECYCLE,W1-P1-003,الصلاحية,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-004-01,W1_SCHEMA,W1-P1-004,المؤسسة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-004-02,W1_SCOPE,W1-P1-004,المؤسسة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-004-03,W1_CONCURRENCY,W1-P1-004,المؤسسة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-004-04,W1_AUDIT,W1-P1-004,المؤسسة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-004-05,W1_LIFECYCLE,W1-P1-004,المؤسسة,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-005-01,W1_SCHEMA,W1-P1-005,الفرع,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-005-02,W1_SCOPE,W1-P1-005,الفرع,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-005-03,W1_CONCURRENCY,W1-P1-005,الفرع,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
